id,sms_text,transaction_type,amount,reference,date,balance,sender_recipient,phone
28,"RF55KXW Confirmed. You have paid Ksh446.84 to RUBIS ENERGY for account 560697 on 24/08/2025 at 10:01 AM. New balance is Ksh-30,447.54. Transaction cost, Ksh0.00.",paybill,446.84,RF55KXW,2025-08-24T10:01:19.362319,-30447.539532537732,RUBIS ENERGY,
27,"RB90VRG Confirmed. You have received Ksh5,991.87 from STEPHEN WAMBUI 254712531512 on 26/08/2025 at 04:23 PM. New M-PESA balance is Ksh-30,000.70. Transaction cost, Ksh0.00.",received,5991.87,RB90VRG,2025-08-26T16:23:57.362231,-30000.699532537732,STEPHEN WAMBUI,254712531512
22,"TG29IVS Confirmed. Ksh2,735.54 paid to SHELL PETROL STATION Till Number 060835 on 26/08/2025 at 06:42 PM. New balance is Ksh-37,326.85. Transaction cost, Ksh0.00.",till,2735.54,TG29IVS,2025-08-26T18:42:43.361937,-37326.84953253772,SHELL PETROL STATION,
16,"RB81LHV Confirmed. You have received Ksh561.15 from LUCY ONYANGO 254756974043 on 28/08/2025 at 07:21 PM. New M-PESA balance is Ksh-25,387.48. Transaction cost, Ksh0.00.",received,561.15,RB81LHV,2025-08-28T19:21:10.361576,-25387.47953253773,LUCY ONYANGO,254756974043
8,"RB62HGT Confirmed. You have received Ksh13,775.22 from DAVID ADHIAMBO 254734339559 on 30/08/2025 at 03:54 AM. New M-PESA balance is Ksh-15,950.30. Transaction cost, Ksh0.00.",received,13775.22,RB62HGT,2025-08-30T03:54:19.361005,-15950.299532537729,DAVID ADHIAMBO,254734339559
42,"RB35DVH Confirmed. You have received Ksh3,860.22 from REBECCA MUGO 254723858000 on 01/09/2025 at 12:18 AM. New M-PESA balance is Ksh-9,465.16. Transaction cost, Ksh0.00.",received,3860.22,RB35DVH,2025-09-01T00:18:44.363339,-9465.15953253774,REBECCA MUGO,254723858000
41,"Co-operative Bank: Transfer of KES 2,730.21 to SAMUEL MWANGI successful. Acc XXXX5678 Balance: KES -13,325.38. Ref: 0354499106 on 01-Sep-2025",bank_transfer,2730.21,0354499106,2025-09-01T16:43:47.363243,-13325.37953253774,Co-operative Bank,
10,"RB07JHU Confirmed. You have received Ksh3,277.97 from ROSE MUTUA 254723804483 on 05/09/2025 at 07:18 AM. New M-PESA balance is Ksh-12,993.07. Transaction cost, Ksh0.00.",received,3277.97,RB07JHU,2025-09-05T07:18:06.361129,-12993.06953253773,ROSE MUTUA,254723804483
25,"Equity Bank: Transfer of KES 371.72 to JANE NJERI successful. Acc XXXX5678 Balance: KES -35,561.57. Ref: 7822032297 on 05-Sep-2025",bank_transfer,371.72,7822032297,2025-09-05T09:12:01.362098,-35561.56953253773,Equity Bank,
11,"RF42GYO Confirmed. You have paid Ksh3,629.05 to NAKUMATT PHARMACY for account 178948 on 06/09/2025 at 02:03 PM. New balance is Ksh-16,622.12. Transaction cost, Ksh0.00.",paybill,3629.05,RF42GYO,2025-09-06T14:03:52.361184,-16622.11953253773,NAKUMATT PHARMACY,
47,"RF81ENY Confirmed. You have paid Ksh19,137.12 to CHANDARANA for account 802907 on 10/09/2025 at 12:13 AM. New balance is Ksh-31,244.19. Transaction cost, Ksh0.00.",paybill,19137.12,RF81ENY,2025-09-10T00:13:36.363620,-31244.189532537737,CHANDARANA,
35,"KL21MUM Confirmed. You bought Ksh200.00 airtime for 254756226688 on 13/09/2025 at 08:39 PM. New balance is Ksh1,374.66. Transaction cost, Ksh0.00.",airtime,200,KL21MUM,2025-09-13T20:39:45.362897,1374.6604674622631,,254756226688
38,"HJ71DZN Confirmed. You have withdrawn Ksh1,430.21 from M-PESA Agent SARAH MUGO 254712216091 on 15/09/2025 at 11:38 PM. New balance is Ksh-3,688.64. Transaction cost, Ksh17.16.",withdrawal,1430.21,HJ71DZN,2025-09-15T23:38:59.363076,-3688.639532537737,SARAH MUGO,254712216091
44,"HJ95KMP Confirmed. You have withdrawn Ksh2,972.56 from M-PESA Agent SARAH KORIR 254712344443 on 16/09/2025 at 07:27 AM. New balance is Ksh-12,523.39. Transaction cost, Ksh35.67.",withdrawal,2972.56,HJ95KMP,2025-09-16T07:27:51.363450,-12523.38953253774,SARAH KORIR,254712344443
